Stops1,Stops2,Stops3,Stops4,Stops5,Stops6,Stops7,Stops8,Stops9,Stops10,Stops11,Stops12,Stops13,Stops14,Stops15,Stops16,Stops17,Stops18,Stops19,Stops20,Stops21,Stops22,Stops23,Stops24,Stops25,Stops26,Stops27,Stops28,Stops29,Stops30,Stops31,Stops32,Stops33,Stops34,Stops35,Stops36,Stops37,Stops38,Stops39,Stops40,Stops41,Stops42,Stops43,Stops44,Stops45,Stops46,Stops47,Stops48,Stops49,Stops50,Stops51,Stops52,Stops53,Stops54,Stops55,Stops56,Stops57,Stops58,Stops59,Stops60,Stops61,Stops62,Stops63,Stops64,Stops65,Stops66,Stops67,Stops68,Stops69,Stops70,Stops71,Stops72,Stops73,Stops74,Stops75,Stops76,Stops77,Stops78,Stops79,Stops80,Stops81,Stops82,Stops83,Stops84,Stops85,Stops86,Stops87,Stops88,Stops89,Stops90,Stops91,Stops92,Stops93,Stops94,Stops95,Stops96,Stops97,Stops98,Stops99,Stops100,Stops101,Stops102,Stops103,Stops104,Stops105,Stops106,Stops107,Stops108,Stops109,Stops110
"[14.5239636697085,121.0263136197085],","[14.56259871970849,121.0529437697085],","[14.5298413697085,121.0322019197085],","[14.56259871970849,121.0529437697085],","[14.5335060197085,121.0394652197085],","[14.56259871970849,121.0529437697085],","[14.56259871970849,121.0529437697085],","[14.5453319197085,121.0469703197085],","[14.5444335,121.0456934],","[14.5484583697085,121.0543735197085],","[14.5515597,121.0532179],","[14.5548628197085,121.0552846697085],","[14.5556972697085,121.0562489697085],","[14.5515597,121.0532179],","[14.55722669999997,121.0099083],","[14.55722669999997,121.0099083],","[14.5598986197085,121.0476948197085],","[14.55514459999998,121.0241107],","[14.5590541,121.0443444697085],","[14.5611997197085,121.0443561197085],","[14.5627382197085,121.0439109197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.567985823937468, 121.04596201643784],","[14.567842211533604, 121.04762712644369],","[14.568083636416054, 121.04541577160785],","[14.567986526245823, 121.04375577733305],","[14.56748153420997, 121.0422578926687],","[14.567309127356843, 121.03880491094274],","[14.562961342793963, 121.0371530170528],","[14.5591965197085,121.0553929197085],","[14.563064189646248, 121.0371464356485],","[14.556468124425706, 121.06283393079995],","[14.5548618197085,121.0615989197085],","[14.521965082471842, 121.0539120402143],","[14.5484583697085,121.0543735197085],","[14.521965082471842, 121.0539120402143],","[14.521965082471842, 121.0539120402143],","[14.521965082471842, 121.0539120402143],","[14.521965082471842, 121.0539120402143],","[14.521965082471842, 121.0539120402143],","[14.521965082471842, 121.0539120402143],","[14.5185214197085,121.0466342197085],","[14.546466076603043, 121.05617688884199],","[14.546466076603043, 121.05617688884199],","[14.521965082471842, 121.0539120402143],","[14.454047328770493, 121.04547133212218],","[14.488364215225065, 121.0469038567229],","[14.5055708,121.0379894],","[14.5070881, 121.0413853507291],","[14.5070881, 121.0413853507291]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5721597197085,121.0124612197085],","[14.55722669999997,121.0099083],","[14.5681920197085,121.0149825197085],","[14.5673436197085,121.0166475197085],","[14.5647279697085,121.0169054197085],","[14.5640672697085,121.0260381197085],","[14.5619520197085,121.0273650197085],","[14.5600593197085,121.0264191197085],","[14.5489432697085,121.0263178197085],","[14.5499642,121.0220422],","[14.5600593197085,121.0264191197085],","[14.5618723,121.0220422],","[14.5618723,121.0220422],","[14.5652860197085,121.0222173197085],","[14.5668506197085,121.0227792197085],","[14.5687098197085,121.0219505197085],","[14.5719078,121.0166613197085],","[14.5704129197085,121.0143919197085],","[14.5655039,121.0105733],","[14.5721597197085,121.0124612197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5499642,121.0220422],","[14.5570678197085,121.0248421197085],","[14.55514459999998,121.0241107],","[14.5571588197085,121.0443509197085],","[14.55514459999998,121.0241107],","[14.5598986197085,121.0476948197085],","[14.56190102525911, 121.05464260489836],","[14.5591965197085,121.0553929197085],","[14.562233294980084, 121.05403970759853],","[14.56226444749751, 121.05394851249508],","[14.56423224190402, 121.0570787776677],","[14.553970633312096, 121.06391904877027],","[14.552554967876855, 121.06331321769171],","[14.549858870991157, 121.06364718043316],","[14.549416064342651, 121.06375611144652],","[14.547898678629592, 121.06406638527565],","[14.546110913806563, 121.06475092188325],","[14.5430452697085,121.0653993]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5354767197085,121.0668532197085],","[14.5392909697085,121.0629465697085],","[14.53401749999997,121.0669114],","[14.5394583197085,121.0658716197085],","[14.5405543697085,121.0652519197085],","[14.5415387197085,121.0658250197085],","[14.5447671197085,121.0634033197085],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5549029197085,121.0638583197085],","[14.5665727197085,121.0468542],","[14.5578883197085,121.0644860197085],","[14.5665727197085,121.0468542],","[14.5593803197085,121.0612946197085],","[14.5603055197085,121.0602220197085],","[14.5614463197085,121.0587692197085],","[14.5625986197085,121.0571924697085],","[14.5626220697085,121.0554966697085],","[14.5624642197085,121.0547309197085],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.5665727197085,121.0468542],","[14.576313283312041, 121.05046371956948]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5484583697085,121.0543735197085],","[14.5460632197085,121.0509053197085],","[14.5449600197085,121.0485156197085],","[14.5453589197085,121.0401124197085],","[14.547437638740469, 121.03745903466256],","[14.547437638740469, 121.03745903466256],","[14.550103800319652, 121.0296191515867]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.53771059999997,121.0669114],","[14.54611532346154, 121.06474684870837],","[14.547895272406782, 121.06405651544289],","[14.549411590366198, 121.0637410640155],","[14.551330145079707, 121.06337302394543],","[14.552541217544261, 121.06331543526409],","[14.553963141142528, 121.06393006753125],","[14.555519455050968, 121.06477034822512],","[14.5548618197085,121.0615989197085],","[14.5513373920939, 121.05935520873874],","[14.5484583697085,121.0543735197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.55075516626499, 121.01185864246278],","[14.5476922,121.0111955697085],","[14.5428971197085,121.0153056197085],","[14.53871589062567, 121.01966149905556],","[14.552761004762626, 121.0137120192746],","[14.552761004762626, 121.0137120192746],","[14.525602123557885, 121.02695508333875],","[14.506763261396165, 121.0349516232739],","[14.501943614134843, 121.03753266809666],","[14.497093230593492, 121.04028787304215],","[14.502193784785172, 121.0380025420497],","[14.5055708,121.0379894],","[14.550399764421789, 121.02855802319165]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5661038697085,121.0444428197085],","[14.5611997197085,121.0443561197085],","[14.5601895,121.0450610697085],","[14.5590541,121.0443444697085],","[14.558829246119553, 121.04632967556746],","[14.5598986197085,121.0476948197085],","[14.563064189646248, 121.0371464356485],","[14.5413946,121.0449768],","[14.5413946,121.0449768],","[14.541500367997113, 121.0470947165559],","[14.536723289015775, 121.04690730706376],","[14.534576593333101, 121.04381504918261],","[14.534773485251888, 121.04082879330427],","[14.5303044697085,121.0395081697085],","[14.5247690053958, 121.04543477701804],","[14.5247690053958, 121.04543477701804],","[14.5247690053958, 121.04543477701804]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5247690053958, 121.04543477701804],","[14.5247690053958, 121.04543477701804],","[14.5247690053958, 121.04543477701804],","[14.5335060197085,121.0394652197085],","[14.533337043954134, 121.03605015549856],","[14.533337043954134, 121.03605015549856],","[14.533337043954134, 121.03605015549856],","[14.533337043954134, 121.03605015549856],","[14.533337043954134, 121.03605015549856],","[14.5413946,121.0449768],","[14.5413946,121.0449768],","[14.5459759197085,121.0464101],","[14.5460632197085,121.0509053197085],","[14.5484583697085,121.0543735197085],","[14.5515597,121.0532179],","[14.5548628197085,121.0552846697085],","[14.5556972697085,121.0562489697085],","[14.5515597,121.0532179],","[14.563064189646248, 121.0371464356485],","[14.563064189646248, 121.0371464356485],","[14.5598986197085,121.0476948197085],","[14.558906744463437, 121.04627692642372],","[14.5590541,121.0443444697085],","[14.5590541,121.0443444697085],","[14.5590541,121.0443444697085],","[14.5587329,121.0447027697085],","[14.5601895,121.0450610697085],","[14.5611997197085,121.0443561197085],","[14.5618518697085,121.0445684197085],","[14.5618518697085,121.0445684197085],","[14.5627382197085,121.0439109197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
