Stops1,Stops2,Stops3,Stops4,Stops5,Stops6,Stops7,Stops8,Stops9,Stops10,Stops11,Stops12,Stops13,Stops14,Stops15,Stops16,Stops17,Stops18,Stops19,Stops20,Stops21,Stops22,Stops23,Stops24,Stops25,Stops26,Stops27,Stops28,Stops29,Stops30,Stops31,Stops32,Stops33,Stops34,Stops35,Stops36,Stops37,Stops38,Stops39,Stops40,Stops41,Stops42,Stops43,Stops44,Stops45,Stops46,Stops47,Stops48,Stops49,Stops50,Stops51,Stops52,Stops53,Stops54,Stops55,Stops56,Stops57,Stops58,Stops59,Stops60,Stops61,Stops62,Stops63,Stops64,Stops65,Stops66,Stops67,Stops68,Stops69,Stops70,Stops71,Stops72,Stops73,Stops74,Stops75,Stops76,Stops77,Stops78,Stops79,Stops80,Stops81,Stops82,Stops83,Stops84,Stops85,Stops86,Stops87,Stops88,Stops89,Stops90,Stops91,Stops92,Stops93,Stops94,Stops95,Stops96,Stops97,Stops98,Stops99,Stops100,Stops101,Stops102,Stops103,Stops104,Stops105,Stops106,Stops107,Stops108,Stops109,Stops110
"[14.546076389326997, 121.06677432739609],","[14.54888719999997,121.0724753],","[14.54888719999997,121.0724753],","[14.54888719999997,121.0724753],","[14.5605994197085,121.0754378197085],","[14.5600424,121.0736389],","[14.5619189197085,121.0746185197085],","[14.5619189197085,121.0746185197085],","[14.5607333,121.0749766697085],","[14.5607333,121.0749766697085],","[14.5648697697085,121.0700565],","[14.5627802197085,121.0680751697085],","[14.5622646,121.065041],","[14.5625745197085,121.0644518197085],","[14.56609924473646, 121.06586353392612],","[14.567930127222944, 121.06615305978904],","[14.569679,121.0668323],","[14.5740456697085,121.0620066697085],","[14.5750890197085,121.0579655197085],","[14.5781840197085,121.0520482697085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.57769,121.05360],","[14.57654,121.05906],","[14.57506,121.06078],","[14.57198,121.06436],","[14.57068,121.06596],","[14.56757,121.06608],","[14.56582,121.06577],","[14.56385,121.06539],","[14.56287,121.06808],","[14.56426,121.06977],","[14.56826,121.07075],","[14.57024,121.07126],","[14.57217,121.07179],","[14.57629,121.07299],","[14.57801,121.07379],","[14.58076,121.07575],","[14.58298,121.07721],","[14.58852,121.08003],","[14.59152,121.07996],","[14.59466,121.07978],","[14.59602,121.07971],","[14.59824,121.07959],","[14.60032,121.07948],","[14.60173,121.07938],","[14.60438,121.07926],","[14.60564,121.07916]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.57763,121.05355],","[14.57653,121.05906],","[14.57504,121.06083],","[14.57197,121.06437],","[14.57068,121.06595],","[14.56756,121.06608],","[14.56582,121.06576],","[14.56383,121.06540],","[14.56287,121.06807],","[14.56426,121.06978],","[14.56841,121.07078],","[14.57023,121.07127],","[14.57217,121.07178],","[14.57630,121.07291],","[14.57806,121.07383],","[14.58074,121.07579],","[14.58299,121.07721],","[14.58848,121.08002],","[14.58976,121.07789]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.541798526797647, 121.06689369492061],","[14.542776178359333, 121.06709115174314],","[14.544604584883496, 121.06806327597509],","[14.547096123951958, 121.07042723605538],","[14.54830322972946, 121.07234690306385],","[14.549941331914042, 121.07298057196422],","[14.55026260994238, 121.07325482783646],","[14.550940496226453, 121.07386735134224],","[14.551845295231493, 121.07466760246975],","[14.555274884466902, 121.07604319457798],","[14.55664588532428, 121.07575416501035],","[14.55734988730711, 121.07519262251665],","[14.55959464473367, 121.07372354797965],","[14.56044737924603, 121.07614031824733],","[14.56046749874657, 121.07652052137665],","[14.56214,121.07618],","[14.56260,121.07602],","[14.56431,121.07575],","[14.56591,121.07594],","[14.56619,121.07117],","[14.56422,121.06979],","[14.56280,121.06806],","[14.56383,121.06536],","[14.56580,121.06571],","[14.56755,121.06604],","[14.57063,121.06592],","[14.57189,121.06438],","[14.57388,121.06202],","[14.57500,121.06079],","[14.57547,121.06024],","[14.57655,121.05897],","[14.57954,121.05538],","[14.57999,121.05482]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5702768697085,121.0514829697085],","[14.5708133,121.0249093],","[14.5733513697085,121.0410390197085],","[14.5708133,121.0249093],","[14.5749048697085,121.0339405197085],","[14.5748504197085,121.0337444197085],","[14.5801309197085,121.0280074197085],","[14.5825446197085,121.0264519197085],","[14.586189,121.0249937697085],","[14.5813421,121.0120069]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5749023,121.0442154],","[14.5708133,121.0249093],","[14.5733513697085,121.0410390197085],","[14.5708133,121.0249093],","[14.5749048697085,121.0339405197085],","[14.5748504197085,121.0337444197085],","[14.5801309197085,121.0280074197085],","[14.5825446197085,121.0264519197085],","[14.586189,121.0249937697085],","[14.5813421,121.0120069]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.58194419999997,121.0132633],","[14.5923461197085,121.0256570197085],","[14.5905957197085,121.0293657197085],","[14.5892174197085,121.0323494197085],","[14.5829276,121.0327933],","[14.5856885197085,121.0352122],","[14.5869574197085,121.0374970197085],","[14.5780136,121.0363768],","[14.5780136,121.0363768],","[14.5780136,121.0363768],","[14.5802578697085,121.0428979197085],","[14.5780136,121.0363768],","[14.5778080197085,121.044249]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5933292697085,121.0262560197085],","[14.59451179143253, 121.02749034805154],","[14.589693350694654, 121.02320747096101],","[14.589693350694654, 121.02320747096101],","[14.589693350694654, 121.02320747096101],","[14.587335552508039, 121.02079006187077],","[14.587335552508039, 121.02079006187077],","[14.5855258197085,121.0212481197085],","[14.586189,121.0249937697085],","[14.583769138466925, 121.02488969452452],","[14.582674516905767, 121.02492787797604],","[14.587612521162427, 121.02478033898089],","[14.585826055055838, 121.02112703155238],","[14.586091397525898, 121.0209976919292]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5813421,121.0120069],","[14.58194419999997,121.0132633],","[14.5834274197085,121.0165125197085],","[14.5844442197085,121.0177564197085],","[14.578783138962512, 120.99741491837625],","[14.579901705612901, 121.00606964576146],","[14.5773727197085,120.9982159197085],","[14.578840209241404, 120.99661173098528],","[14.5769032197085,120.9919538197085],","[14.5714506,120.9875425],","[14.579121901334293, 120.9876398174194],","[14.5770639197085,120.9822412197085],","[14.5763492197085,120.9805408197085],","[14.5747609197085,120.9805570197085],","[14.570699062557084, 120.98452439984469],","[14.5765181697085,120.9846007197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5813421,121.0120069],","[14.58194419999997,121.0132633],","[14.5834274197085,121.0165125197085],","[14.5844442197085,121.0177564197085],","[14.578783138962512, 120.99741491837625],","[14.579901705612901, 121.00606964576146],","[14.5773727197085,120.9982159197085],","[14.5792575697085,120.9983367197085],","[14.5788269197085,120.9959852197085],","[14.579828980523448, 121.00598504938833],","[14.5769032197085,120.9919538197085],","[14.5714506,120.9875425],","[14.5795232197085,120.9866609197085],","[14.5785440197085,120.9846982197085],","[14.5770639197085,120.9822412197085],","[14.5763492197085,120.9805408197085],","[14.575653113426666, 120.98110702943141],","[14.5765181697085,120.9846007197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
