Stops1,Stops2,Stops3,Stops4,Stops5,Stops6,Stops7,Stops8,Stops9,Stops10,Stops11,Stops12,Stops13,Stops14,Stops15,Stops16,Stops17,Stops18,Stops19,Stops20,Stops21,Stops22,Stops23,Stops24,Stops25,Stops26,Stops27,Stops28,Stops29,Stops30,Stops31,Stops32,Stops33,Stops34,Stops35,Stops36,Stops37,Stops38,Stops39,Stops40,Stops41,Stops42,Stops43,Stops44,Stops45,Stops46,Stops47,Stops48,Stops49,Stops50,Stops51,Stops52,Stops53,Stops54,Stops55,Stops56,Stops57,Stops58,Stops59,Stops60,Stops61,Stops62,Stops63,Stops64,Stops65,Stops66,Stops67,Stops68,Stops69,Stops70,Stops71,Stops72,Stops73,Stops74,Stops75,Stops76,Stops77,Stops78,Stops79,Stops80,Stops81,Stops82,Stops83,Stops84,Stops85,Stops86,Stops87,Stops88,Stops89,Stops90,Stops91,Stops92,Stops93,Stops94,Stops95,Stops96,Stops97,Stops98,Stops99,Stops100,Stops101,Stops102,Stops103,Stops104,Stops105,Stops106,Stops107,Stops108,Stops109,Stops110
"[14.606395466500851, 120.96966618604112],","[14.608028212940333, 120.96932200223796],","[14.609836820012116, 120.96918865392446],","[14.611930545404741, 120.9695782720862],","[14.617327628281643, 120.97065368347155],","[14.620401558822302, 120.9716972873678],","[14.621942127885372, 120.97216438141064],","[14.622261284870302, 120.9718269727091],","[14.62320119209131, 120.96994251223445],","[14.624274391746921, 120.96776612517833],","[14.627183913568736, 120.9658527354295],","[14.629751788222212, 120.96468403466973],","[14.632156341760455, 120.96357442947443],","[14.637463972343642, 120.95998480027865],","[14.6412984282225, 120.95621077109779],","[14.643196321853555, 120.95486954804181],","[14.645401684996889, 120.95319743030028],","[14.648945683511817, 120.95113221276252],","[14.65124666023858, 120.95047915003124],","[14.652269279657988, 120.94997626930633],","[14.652095886473164, 120.9494656990872],","[14.65489957216722, 120.94891254526816],","[14.655751181532203, 120.95061909924763],","[14.658553662430542, 120.95228823421643],","[14.659559140240876, 120.9519621839155],","[14.660747575277172, 120.95125729339608],","[14.663692965679019, 120.94970974735439],","[14.667953164006448, 120.94758234855108],","[14.669370891216186, 120.94687183064167],","[14.669969622573817, 120.94653483443209],","[14.671520423980848, 120.94578371470425],","[14.674035714295641, 120.94489310758567]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.622748310451, 121.05259353529611],","[14.621895558755488, 121.05069299728287],","[14.621504666408367, 121.04982017211424],","[14.620255096316939, 121.04658055328942],","[14.618617013212846, 121.042636360338],","[14.616928676590273, 121.03985355686858],","[14.615232367911167, 121.03699742136267],","[14.61418907288444, 121.03506817566277],","[14.613627758762142, 121.0341647949871],","[14.612657352154466, 121.03224604252911],","[14.612229214328424, 121.03065543322028],","[14.611099411263533, 121.02756557485516],","[14.61054580551551, 121.0259535352266],","[14.610125235911188, 121.02461912048226],","[14.609276460107852, 121.02239601959377],","[14.608271014897339, 121.02125716418918],","[14.60712648929262, 121.02005583447823],","[14.606624790628738, 121.01940776483357],","[14.605959005316878, 121.01886883007614],","[14.604612549939189, 121.01752220985827],","[14.602778378564006, 121.01526103604803],","[14.6022304130489, 121.0097406662755],","[14.601849955600533, 121.00558689223335],","[14.601713055517306, 121.00406494887977],","[14.601648954506022, 121.00347583620466],","[14.600968372815478, 120.99496594514528],","[14.601501099806354, 120.99309142398563],","[14.600620040491773, 120.99111967314435],","[14.600625613034039, 120.99074249105792],","[14.602391594855385, 120.98689249744365],","[14.603506731984778, 120.98418146259762],","[14.603697788770152, 120.98297531261873],","[14.604361483791182, 120.9795024178296],","[14.605024423110642, 120.97775275336505],","[14.605413285203836, 120.9768057684416],","[14.605995190052898, 120.97529898645847],","[14.606315081514186, 120.97442991326315],","[14.606521241924836, 120.97296319102433],","[14.606174857589924, 120.9714093887851],","[14.605322862187851, 120.96974074477168],","[14.603587277947446, 120.96820920737237]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5989322,120.964597],","[14.6023866197085,120.9669963197085],","[14.6037499197085,120.9683995197085],","[14.5989322,120.964597],","[14.6054904697085,120.9720463697085],","[14.6030872, 120.9741307],","[14.6010326,120.9747258],","[14.6000706,120.9774998197085],","[14.6022231197085,120.9817659197085],","[14.5973569697085,120.9802448197085],","[14.6008543197085,120.9858814197085],","[14.6009168697085,120.9916034197085],","[14.60075869999998,120.9993774],","[14.60075869999998,120.9993774],","[14.6004065697085,121.0039445697085],","[14.6007296197085,121.0067144197085],","[14.60075869999998,120.9993774],","[14.60075869999998,120.9993774],","[14.60290471970849,121.0159409197085],","[14.5991355,121.0116485],","[14.6012427697085,121.0196449697085],","[14.604797069311328, 121.02253387327166],","[14.609138824684722, 121.02228898289559],","[14.60202519999998,121.0205408],","[14.6063785197085,121.0255257197085],","[14.6018764697085,121.0199851197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.601135036818436, 120.99942970994336],","[14.58956357239632, 120.99732513655862],","[14.588222702719744, 120.99620318523138],","[14.587300441274856, 120.99539213607913],","[14.56989440028587, 120.99163161948113],","[14.581356985680703, 120.99495620168791]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5988986,120.9790281],","[14.5988986,120.9790281],","[14.5981755197085,120.9827680197085],","[14.5981755197085,120.9827680197085],","[14.5981755197085,120.9827680197085],","[14.606242,120.9837736697085],","[14.6096169197085,120.9819645197085],","[14.6107188197085,120.9820412197085],","[14.6129729197085,120.9822343197085],","[14.6036458,120.9818962],","[14.6166361197085,120.9786696],","[14.6192365197085,120.9825062197085],","[14.622526080104656, 120.98322934347051],","[14.657253741715625, 120.98448800132203],","[14.628969009140636, 120.98283786020349],","[14.5988986,120.9790281],","[14.5988986,120.9790281],","[14.6391751197085,120.9784507197085],","[14.5988986,120.9790281],","[14.6024545197085,120.9805437197085],","[14.5988986,120.9790281],","[14.652647245403255, 120.98396077280513],","[14.6430042197085,120.9829772197085],","[14.5988986,120.9790281],","[14.6474444,120.9759807],","[14.5988986,120.9790281],","[14.5988986,120.9790281],","[14.5988986,120.9790281],","[14.5988986,120.9790281],","[14.6565545697085,120.9829488197085],","[14.6589263197085,120.9825964197085],","[14.6603767197085,120.9827274197085],","[14.663147327433007, 120.98412183888182],","[14.6651303,120.9840472],","[14.667633359395753, 120.98232662749828],","[14.6682560197085,120.9810627697085],","[14.6711859697085,120.9809847697085],","[14.6738770197085,120.9799227197085],","[14.6764370697085,120.9789091197085],","[14.68015846970849,120.9774117197085],","[14.6823104197085,120.9762477697085],","[14.6847886197085,120.9747939197085],","[14.6838480697085,120.9756561197085],","[14.6863445197085,120.9738728197085],","[14.6953397197085,120.9724239197085],","[14.690186809428138, 120.9749600997426],","[14.7030429697085,120.9597091697085],","[14.6911227197085,120.9694144197085],","[14.692860088781915, 120.96848173336316],","[14.6915201197085,120.9647879197085],","[14.692918430695041, 120.9641754072918]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.579474,120.976877],","[14.5885644197085,120.9793338197085],","[14.5826472,120.9750843],","[14.5972897,120.9833302],","[14.6039105197085,120.9866904197085],","[14.6039105197085,120.9866904197085],","[14.60525949999997,120.9880394],","[14.6088467197085,120.9881436697085],","[14.6088467197085,120.9881436697085],","[14.6098287197085,120.9919861197085],","[14.60525949999997,120.9880394],","[14.60525949999997,120.9880394],","[14.6135330197085,120.9972356197085],","[14.60525949999997,120.9880394],","[14.61446379999997,120.9957848],","[14.6135162197085,121.0025056697085],","[14.6163908697085,121.0114945197085],","[14.6150057,121.0016124],","[14.618447215619826, 121.01259525069273],","[14.61867111970849,121.0162097697085],","[14.6229412197085,121.0415216197085],","[14.6199977697085,121.0206315697085],","[14.6210885197085,121.0240886197085],","[14.6216131197085,121.0267074197085],","[14.6228617197085,121.0291284197085],","[14.6236701,121.0320766],","[14.6267988,121.03351],","[14.6267988,121.03351],","[14.6267988,121.03351],","[14.6290912197085,121.0435139197085],","[14.6298638197085,121.0460660197085],","[14.6305565197085,121.0484804197085],","[14.6312258197085,121.0508223197085],","[14.6318674197085,121.0530125197085],","[14.6325161197085,121.0552500197085],","[14.6319471197085,121.0577939197085],","[14.6300720197085,121.0597167697085],","[14.6294633197085,121.0597266197085],","[14.6272507197085,121.0617076197085],","[14.6272763197085,121.0631006697085],","[14.628192,121.0628914]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6022231197085,120.9817659197085],","[14.5973569697085,120.9802448197085],","[14.603113340074794, 120.98488711336834],","[14.6007799197085,120.9857519197085],","[14.600459097351058, 120.99061456229202],","[14.6009168697085,120.9916034197085],","[14.60075869999998,120.9993774],","[14.60075869999998,120.9993774],","[14.6004065697085,121.0039445697085],","[14.60075869999998,120.9993774],","[14.60075869999998,120.9993774],","[14.60075869999998,120.9993774],","[14.599338654347168, 121.0170729536522],","[14.602751351237732, 121.01606055816157],","[14.606107462689838, 121.01926408494778],","[14.6057417697085,121.0191885197085],","[14.609183858558264, 121.02228334865298],","[14.6072591,121.0240082697085],","[14.610567071920418, 121.02618957882578],","[14.610957726397661, 121.02748611268916],","[14.612066344001603, 121.03082669992087],","[14.611607,121.0288514],","[14.6124793,121.0299265],","[14.6134208197085,121.0371143197085],","[14.616712852268565, 121.03965608741102],","[14.6169159,121.0378102],","[14.6019568,121.0191751],","[14.6092608,121.0421102],","[14.619190448415244, 121.05107293517719],","[14.62067696970849,121.0514628197085],","[14.6216399197085,121.0517657197085],","[14.6226059197085,121.0541196197085],","[14.6226059197085,121.0541196197085],","[14.6235101197085,121.0558695197085],","[14.6251863197085,121.0590687197085],","[14.627783880157727, 121.0632467231404],","[14.620678342057554, 121.04810904623544],","[14.6279788697085,121.0674612697085],","[14.6285381197085,121.0692072197085],","[14.6301534197085,121.0718312697085],","[14.62770719999997,121.0632899],","[14.6309384,121.0779377],","[14.6309384,121.0779377],","[14.63299099999997,121.0830711],","[14.6309384,121.0779377],","[14.6309384,121.0779377],","[14.634127879311821, 121.08622364902449],","[14.63560906793695, 121.09734449464317],","[14.64131122616914, 121.09737779771494],","[14.6411254197085,121.0950408197085],","[14.649499935262748, 121.1016675734917],","[14.645640030769988, 121.09653697935413],","[14.6456397697085,121.0962449197085],","[14.649487264305327, 121.10167340030975],","[14.6493995197085,121.1015198197085],","[14.653124688465581, 121.10315312473035],","[14.654621616292372, 121.10326411814187],","[14.6552850197085,121.1033686],","[14.6550492197085,121.1044255197085],","[14.6552850197085,121.1033686],","[14.6571014,121.1085616],","[14.6571014,121.1085616],","[14.6571014,121.1085616],","[14.6601707,121.1174189197085],","[14.6616227197085,121.1174133197085],","[14.657748,121.1073082],","[14.6632383197085,121.1251663697085],","[14.664572678545836, 121.12643817617271]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6107982197085,121.0072532197085],","[14.6109417197085,121.0053645197085],","[14.6095388197085,121.0036824197085],","[14.6074507197085,121.0024079197085],","[14.60232849999997,120.9944858],","[14.60232849999997,120.9944858],","[14.60232849999997,120.9944858],","[14.60232849999997,120.9944858],","[14.6036873,120.9930093],","[14.6045366697085,120.9928864197085],","[14.6003228,120.9872736],","[14.6030501,120.9856604],","[14.607998960052686, 120.9942696029954],","[14.598271162604652, 120.9858822513728],","[14.597587481375205, 120.98362100823296]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.602578831167063, 120.96227697787283],","[14.604671112917343, 120.96153350747774],","[14.60930620689891, 120.96115664124869],","[14.60991690940369, 120.96689454234304],","[14.6097854954559, 120.96776633369609]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6141191697085,120.9589989697085],","[14.6080746197085,120.9596274197085],","[14.6033425197085,120.9601880197085],","[14.609440995471079, 120.96095676591858],","[14.604722850993234, 120.96151063888168],","[14.5963644,120.9639695],","[14.5989322,120.964597],","[14.6023866197085,120.9669963197085],","[14.6037499197085,120.9683995197085],","[14.5989322,120.964597],","[14.6054904697085,120.9720463697085],","[14.6025897197085,120.9648652697085],","[14.6030872, 120.9741307],","[14.6010326,120.9747258],","[14.6000706,120.9774998197085],","[14.6022231197085,120.9817659197085],","[14.5972897,120.9833302],","[14.5972897,120.9833302]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
