amenity,addr_city,name,x,y,geometry
education,Manila,University of the Philippines - Manila,120.9834831,14.57900542,"POLYGON ((120.9838902 14.578879, 120.9839086 14.5788474, 120.9836171 14.5786907, 120.9834578 14.578605, 120.9832927 14.5785162, 120.9830937 14.5788773, 120.9833514 14.5790095, 120.9832081 14.5792578, 120.9833572 14.5793362, 120.9832851 14.5794672, 120.9834951 14.5795745, 120.9838902 14.578879))"
education,Manila,,120.9889292,14.60374496,"POLYGON ((120.9888057 14.6038353, 120.9888549 14.6038019, 120.988894 14.6038329, 120.9888834 14.6039517, 120.9889101 14.6039724, 120.9889734 14.6039018, 120.9890994 14.6037613, 120.9889937 14.6035555, 120.988741 14.6036968, 120.9888057 14.6038353), (120.9889161 14.6037543, 120.9889966 14.6037135, 120.9890127 14.6037265, 120.9889618 14.6037695, 120.9889161 14.6037543))"
education,Manila,Nihongo Center,120.9882407,14.603513,"POLYGON ((120.9883477 14.6034819, 120.9884466 14.6033768, 120.9884285 14.6033344, 120.9881571 14.6034637, 120.988177 14.6035216, 120.9880587 14.6035725, 120.9881371 14.6037085, 120.9883477 14.6034819))"
education,Manila,Victoriano Mapa High School,120.9917601,14.59800516,"MULTIPOLYGON (((120.9929803 14.5981704, 120.9928546 14.598131, 120.9921232 14.5977744, 120.9922284 14.5974991, 120.9919885 14.5974199, 120.9917734 14.5979382, 120.992963 14.5982629, 120.9929822 14.5982245, 120.9930026 14.5981999, 120.9929803 14.5981704)), ((120.9908263 14.5981635, 120.9910946 14.5985282, 120.9914164 14.5981973, 120.9911598 14.5979721, 120.991063 14.5978871, 120.9909705 14.5979611, 120.9909142 14.5979306, 120.9907841 14.5980234, 120.9908263 14.5981635)))"
education,Manila,Centro Escolar University,120.9917005,14.59863609,"MULTIPOLYGON (((120.9912461 14.5977028, 120.990939 14.597512, 120.9906929 14.5974653, 120.99066 14.5976211, 120.9907164 14.597904, 120.9907841 14.5980234, 120.9909142 14.5979306, 120.9909705 14.5979611, 120.991063 14.5978871, 120.9911598 14.5979721, 120.9914164 14.5981973, 120.9916163 14.5979884, 120.9912461 14.5977028)), ((120.9920712 14.598135, 120.991924 14.5982771, 120.9918388 14.5983552, 120.9917678 14.5984299, 120.9915381 14.5982316, 120.9915245 14.5982199, 120.9914095 14.5983322, 120.9916142 14.5985205, 120.9915363 14.5985998, 120.9913315 14.5984115, 120.9911644 14.5985695, 120.9911088 14.598622, 120.9911213 14.5989751, 120.991322 14.5997746, 120.9913742 14.5998352, 120.9929401 14.5982956, 120.9921313 14.5980871, 120.9920712 14.598135)))"
education,Manila,Lyceum of the Philippines University,120.9778506,14.59155308,"POLYGON ((120.9775372 14.5918291, 120.9778788 14.5921048, 120.9779109 14.5921233, 120.9779313 14.5921307, 120.9779423 14.5921333, 120.977959 14.5921314, 120.9779682 14.5921223, 120.9779737 14.5920999, 120.9780972 14.5919327, 120.978378 14.5916062, 120.9784009 14.5915407, 120.9784203 14.5915064, 120.9784053 14.5914736, 120.9781642 14.591277, 120.9777717 14.5909598, 120.9772569 14.5915949, 120.9775372 14.5918291))"
education,Manila,Doña Teodora Alonzo High School,120.9803645,14.6127602,"POLYGON ((120.9805092 14.6123488, 120.9801894 14.6123734, 120.9802363 14.6131806, 120.9805233 14.6131677, 120.9805092 14.6123488))"
education,Manila,Francisco Balagtas Elementary School,120.980901,14.61274747,"POLYGON ((120.9805092 14.6123488, 120.9805233 14.6131677, 120.9813101 14.6131595, 120.981247 14.6122972, 120.9805092 14.6123488))"
education,Manila,Gregorio del Pilar Elementary School Centex,120.9757099,14.60694202,"POLYGON ((120.9752987 14.6069108, 120.9754082 14.6072066, 120.976123 14.6069711, 120.9760118 14.6066786, 120.9752987 14.6069108))"
education,Manila,General Gregorio del Pilar Elementary School,120.9754881,14.60644918,"POLYGON ((120.9752987 14.6069108, 120.9760118 14.6066786, 120.9757416 14.6060995, 120.9755123 14.6061657, 120.9754559 14.605989, 120.9750016 14.6061595, 120.9752987 14.6069108))"
education,Manila,De La Salle University Manila,120.992897,14.56522187,"MULTIPOLYGON (((120.992884 14.5663596, 120.9931857 14.566493, 120.9932565 14.5663487, 120.9932747 14.5663117, 120.9927916 14.5660833, 120.9927566 14.5660664, 120.992711 14.5660459, 120.9927698 14.5659483, 120.9929439 14.5656056, 120.9934878 14.5658777, 120.9935262 14.5657934, 120.99354 14.5657647, 120.9936285 14.5655729, 120.9937701 14.5652654, 120.993822 14.5651604, 120.9938626 14.5650487, 120.9939444 14.5648397, 120.9939833 14.5647411, 120.9942193 14.5642414, 120.9943078 14.5640629, 120.9943843 14.563913, 120.9944312 14.5638247, 120.9943663 14.5637948, 120.9943391 14.5638485, 120.9942381 14.563805, 120.9942672 14.5637405, 120.993869 14.5635482, 120.9938425 14.5635132, 120.9936252 14.5634132, 120.9935313 14.5634716, 120.993127 14.5639279, 120.9930832 14.5639065, 120.992962 14.5641226, 120.9926285 14.564345, 120.9925523 14.5643621, 120.9922734 14.564279, 120.9922177 14.5642835, 120.9921882 14.5643037, 120.9921484 14.5643697, 120.9919298 14.564759, 120.9917128 14.5648696, 120.9917081 14.5649011, 120.9916954 14.5649851, 120.9919507 14.565183, 120.9922297 14.5653492, 120.9922852 14.5653822, 120.9922895 14.5654161, 120.9921299 14.5656302, 120.991973 14.5659119, 120.9921406 14.5659911, 120.9921849 14.5659041, 120.9926248 14.5661014, 120.9925664 14.5662124, 120.9926599 14.5662606, 120.992884 14.5663596), (120.9936249 14.5635248, 120.9936606 14.5634517, 120.9937181 14.5634781, 120.9936893 14.563551, 120.9936249 14.5635248), (120.9917793 14.5650165, 120.9918575 14.5649017, 120.9918922 14.564914, 120.9918318 14.565043, 120.9917793 14.5650165), (120.9922585 14.5649312, 120.9923312 14.5649567, 120.9922754 14.5650408, 120.9922195 14.5650161, 120.9922585 14.5649312)), ((120.9923425 14.5663161, 120.9919242 14.5661415, 120.9916278 14.5666296, 120.9915568 14.5667895, 120.9915591 14.5670117, 120.9920374 14.5672259, 120.9920581 14.5672354, 120.9922741 14.5670813, 120.9928167 14.5673103, 120.9928752 14.567188, 120.9929201 14.5670903, 120.9923783 14.5668567, 120.992239 14.5668534, 120.9921957 14.5668397, 120.9920673 14.5667878, 120.9918552 14.5666985, 120.9919268 14.5665064, 120.992195 14.5666199, 120.992314 14.5666702, 120.9923885 14.5665059, 120.9924564 14.5663713, 120.9924681 14.5663762, 120.9924806 14.5663526, 120.9923536 14.5662955, 120.9923425 14.5663161)), ((120.9913031 14.5683948, 120.991266 14.5684762, 120.9914389 14.5685402, 120.9914693 14.5684458, 120.9913031 14.5683948)), ((120.9912649 14.5688129, 120.9912112 14.5687869, 120.9911911 14.5687753, 120.9911107 14.5687428, 120.991057 14.568748, 120.9910114 14.568722, 120.990962 14.5686974, 120.9908789 14.5688532, 120.9909829 14.568923, 120.9911561 14.5690018, 120.9911657 14.5690092, 120.9912928 14.5690671, 120.9913815 14.5688583, 120.9912808 14.5688183, 120.9912649 14.5688129)))"
